tblCodeID,Code,Description,tblCodeTypeID,CodeType,Created,Modified,Deprecated,tblCodeGUID,tblCodeTypeGUID
202172,BK8103,Brüel & Kjaer 8103,1584,HydrophoneType,2020-02-14,2020-02-14,False,ea758124-3219-4b20-95ba-59050ea16331,a3870073-2a2f-4fe9-a300-cf37c28e9496
202171,BK8104,Brüel & Kjaer 8104,1584,HydrophoneType,2020-02-14,2020-02-14,False,1e93adec-a064-4bbc-b86d-4461bca5ea7a,a3870073-2a2f-4fe9-a300-cf37c28e9496
202170,BK8105,Brüel & Kjaer 8105,1584,HydrophoneType,2020-02-14,2020-02-14,False,bcf7bc54-48e2-4734-b910-f8c436cf24cc,a3870073-2a2f-4fe9-a300-cf37c28e9496
202169,BK8106,Brüel & Kjaer 8106,1584,HydrophoneType,2020-02-14,2020-02-14,False,16835d8e-ce31-4f2a-a408-7a97aa8d30d1,a3870073-2a2f-4fe9-a300-cf37c28e9496
235412,CGP1516,COLMAR GP1516,1584,HydrophoneType,2021-06-29,2021-06-29,False,541635c8-a103-4365-92bc-873886f01b35,a3870073-2a2f-4fe9-a300-cf37c28e9496
202191,DE200,DE-200,1584,HydrophoneType,2020-02-14,2020-02-14,False,b2c41406-b3cc-4afa-bff8-bfcdfc05c0ba,a3870073-2a2f-4fe9-a300-cf37c28e9496
202189,DE600,DE-600,1584,HydrophoneType,2020-02-14,2020-02-14,False,1bb22e58-42ab-4e29-988f-4b45aa705d1d,a3870073-2a2f-4fe9-a300-cf37c28e9496
202190,DEPRO,DE-PRO,1584,HydrophoneType,2020-02-14,2020-02-14,False,ea857f1d-54a5-4a76-8157-0b39e86561a8,a3870073-2a2f-4fe9-a300-cf37c28e9496
202182,GSM143,GeoSpectrum M14-360,1584,HydrophoneType,2020-02-14,2020-02-14,False,593e1b9e-1f6b-40ad-b2c4-48331e0df66e,a3870073-2a2f-4fe9-a300-cf37c28e9496
202183,GSM149,GeoSpectrum M14-900,1584,HydrophoneType,2020-02-14,2020-02-14,False,bc6d4fc6-3c47-467c-8b14-6e6d21cc0b0d,a3870073-2a2f-4fe9-a300-cf37c28e9496
202184,GSM153,GeoSpectrum M15-360,1584,HydrophoneType,2020-02-14,2020-02-14,False,44885790-6a18-4d92-bacf-09bb89c6a8af,a3870073-2a2f-4fe9-a300-cf37c28e9496
202185,GSM159,GeoSpectrum M15-900,1584,HydrophoneType,2020-02-14,2020-02-14,False,c988784f-55d1-4ab0-a8db-b45e8e043bc2,a3870073-2a2f-4fe9-a300-cf37c28e9496
202186,GSM361,GeoSpectrum M36-100,1584,HydrophoneType,2020-02-14,2020-02-14,False,cbaf9354-0057-4bec-8a21-c93e17de9e75,a3870073-2a2f-4fe9-a300-cf37c28e9496
202187,GSM369,GeoSpectrum M36-900,1584,HydrophoneType,2020-02-14,2020-02-14,False,83a510ac-8614-472e-9058-bae95496de14,a3870073-2a2f-4fe9-a300-cf37c28e9496
202180,GSM53,GeoSpectrum M5-360,1584,HydrophoneType,2020-02-14,2020-02-14,False,6f51c967-d780-4f15-a5c4-4da32a21ff6f,a3870073-2a2f-4fe9-a300-cf37c28e9496
202181,GSM59,GeoSpectrum M5-900,1584,HydrophoneType,2020-02-14,2020-02-14,False,717fc1d1-fefc-47a1-bd13-29ab6f9c1ceb,a3870073-2a2f-4fe9-a300-cf37c28e9496
202177,HTI15,HTI-15-Min,1584,HydrophoneType,2020-02-14,2020-02-14,False,ee0d756f-4921-432b-abfd-5ae606dea646,a3870073-2a2f-4fe9-a300-cf37c28e9496
202174,HTI90,HTI-90-UReftek 17,1584,HydrophoneType,2020-02-14,2020-02-14,False,f87ea2ec-7521-403a-a534-4eb7eea0c765,a3870073-2a2f-4fe9-a300-cf37c28e9496
249656,HTI92,HTI-92-WB,1584,HydrophoneType,2021-10-04,2021-10-04,False,6d806c9a-15e1-4340-957e-5693c71efcfb,a3870073-2a2f-4fe9-a300-cf37c28e9496
202173,HTI94,HTI-94-SSQ,1584,HydrophoneType,2020-02-14,2020-02-14,False,d14a76ab-47e9-43a8-a756-31e2061b65f0,a3870073-2a2f-4fe9-a300-cf37c28e9496
202179,HTI96,HTI-96-Min,1584,HydrophoneType,2020-02-14,2020-02-14,False,cd4cdfa0-6625-4b95-a9d9-467a52b54cc1,a3870073-2a2f-4fe9-a300-cf37c28e9496
202178,HTI97,HTI-97-DA,1584,HydrophoneType,2020-02-14,2020-02-14,False,df61aeb0-f256-4f70-bd64-4c7d53c563e2,a3870073-2a2f-4fe9-a300-cf37c28e9496
202176,HTI99H,HTI-99-HF,1584,HydrophoneType,2020-02-14,2020-02-14,False,2f9d4029-2cc0-4e49-88d6-a1c8ef2cfd76,a3870073-2a2f-4fe9-a300-cf37c28e9496
202175,HTI99U,HTI-99-UHF,1584,HydrophoneType,2020-02-14,2020-02-14,False,1d870d72-1ecd-49da-863e-07dde7b31035,a3870073-2a2f-4fe9-a300-cf37c28e9496
202193,IR,Integrated in recorder,1584,HydrophoneType,2020-02-14,2020-02-14,False,c68459fc-1653-462b-9f0c-9bfb1723e5b9,a3870073-2a2f-4fe9-a300-cf37c28e9496
249998,ND707H,Neptune D/707H,1584,HydrophoneType,2021-11-15,2021-11-15,False,27dd17df-70f1-472e-8cf8-6f37b01e8329,a3870073-2a2f-4fe9-a300-cf37c28e9496
202192,SEH,Soundtrap external hydrophone,1584,HydrophoneType,2020-02-14,2020-02-14,False,50c412d9-d516-4f22-9926-0074adaf1673,a3870073-2a2f-4fe9-a300-cf37c28e9496
202188,SPT,Sparton,1584,HydrophoneType,2020-02-14,2020-02-14,False,b0b7a0bb-91eb-4870-aaf2-8d93d76040e7,a3870073-2a2f-4fe9-a300-cf37c28e9496
